advertised a,advertised d,L,dL,y_int(n=-2),y_int(n=-1),y_int(n=0),y_int(n=1),y_int(n=2),y_diff(n=-2),y_diff(n=-1),y_diff(n=0),y_diff(n=1),y_diff(n=2)
mm,mm,mm,mm,m,m,m,m,m,m,m,m,m,m
0.02 ,N/A,1000.0 ,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0678±0.0002,0.1125±0.0002,N/A
0.04 ,N/A,1000.0 ,0.5,N/A,N/A,N/A,N/A,N/A,0.01262±0.00015,0.02964±0.00012,0.05205±0.00012,0.07450±0.00009,0.09064±0.00012
0.08 ,N/A,1000.0 ,0.5,N/A,N/A,N/A,N/A,N/A,0.02034±0.00003,0.02886±0.00009,0.04012±0.0003,0.05153±0.00003,0.06006±0.00003
0.16 ,N/A,1000.0 ,0.5,N/A,N/A,N/A,N/A,N/A,0.00199±0.00002,0.00626±0.00008,0.01231±0.00003,0.01809±0.00004,0.02179±0.00004
0.08 ,N/A,800.0 ,0.5,N/A,N/A,N/A,N/A,N/A,0.00673±0.00004,0.01318±0.00003,0.02236±0.00010,0.03174±0.00004,0.03819±0.00004
0.08 ,N/A,600.0 ,0.5,N/A,N/A,N/A,N/A,N/A,0.00265±0.00003,0.00791±0.00004,0.01462±0.00007,0.02085±0.00003,0.02637±0.00005
0.08 ,N/A,400.0 ,0.5,N/A,N/A,N/A,N/A,N/A,0.00340±0.00004,0.00705±0.00005,0.01113±0.0004,0.01527±0.00007,0.01897±0.00003
0.04 ,0.25 ,1000.0 ,0.5,0.0592±0.0001,0.0618±0.0001,0.0644±0.0001,0.0671±0.0001,0.0697±0.0001,0.0248±0.0001,0.0408±0.0001,0.0644±0.0001,0.0876±0.0001,0.1041±0.0001
0.04 ,0.50 ,1000.0 ,0.5,0.0587±0.0001,0.0600±0.0001,0.0614±0.0001,0.0626±0.0001,0.0639±0.0001,0.0229±0.0001,0.0391±0.0001,0.0627±0.0001,0.0862±0.0001,0.1020±0.0001
0.08 ,0.25 ,1000.0 ,0.5,0.0509±0.0001,0.0535±0.0001,0.0560±0.0001,0.0584±0.0001,0.0612±0.0001,0.0364±0.0001,0.0442±0.0001,0.0560±0.0001,0.0675±0.0001,0.0750±0.0001
0.08 ,0.50 ,1000.0 ,0.5,0.0050±0.0001,0.0063±0.0001,0.0074±0.0001,0.0089±0.0001,0.0101±0.0001,0.0366±0.0001,0.0447±0.0001,0.0567±0.0001,0.0676±0.0001,0.0755±0.0001
.,,,,,,,,,,,,,